SCHOOL NAME, MASCOT, ABBREVIATION, CONFERENCE, PRIMARY HEX COLOR, SECONDARY HEX COLOR, PRESTIGE, HOME STATE, PIPELINE STATES (separated by .);
Connecticut, Huskies, UCONN, Big East, 000E2F, E4002B, 95, CT, CT.MA.RI;
Villanova, Wildcats, NOVA, Big East, 00205B, 13B5EA, 75, PA, PA.NY.NJ.DE;
Rhode Island, Rams, URI, Big East, 68ABE8, FFFFFF, 56, RI, RI.MA.ME;
Providence, Friars, PROV, Big East, 000000, 8A8D8F, 63, RI, RI.MA.ME;
Seton Hall, Pirates, SET, Big East, 004488, A2AAAD, 67, NJ, NJ.NY;
Dayton, Flyers, DAYT, Big East, CE1141, 004B8D, 49, OH, OH;
Georgetown, Hoyas, GTWN, Big East, 041E42, 8D817B, 60, DC, DC.MD;
St. John’s, Red Storm, STJ, Big East, BA0C2F, A7A8AA, 70, NY, NY.NJ;
St. Joseph’s, Hawks, STJOS, Big East, C02427, 0F0708, 43, CT, CT.MA;
Temple, Owls, TEMP, Big East, 9D2235, C1C6C8, 57, PA, PA.DE.MD.DC;
Marquette, Eagles, MARQ, Big East, 003366, FFCC00, 80, WI, WI;
Xavier, Musketeers, XAV, Big East, 0C2340, 9EA2A2, 72, OH, OH.KY;
Creighton, Bluejays, CRE, Big East, 005CA9, 00235D, 69, NE, NE;
Loyola-Chicago, Ramblers, LOY, Big East, 922247, FEBD18, 54, IL, IL;
DePaul, Blue Demons, DEP, Big East, 005EB8, E4002B, 80, IL, IL;
Butler, Bulldogs, BUT, Big East, 13294B, 747678, 79, IN, IN;
Miami, Hurricanes, MIAMI, ACC, 005030, FF671F, 75, FL, FL;
Boston College, Eagles, BC, ACC, 98002E, BC9B6A, 58, MA, MA.RI.ME;
Florida State, Seminoles, FSU, ACC, 782F40, CEB888, 69, FL, FL;
Clemson, Tigers, CLEM, ACC, F56600, 522D80, 61, SC, SC;
Virginia Tech, Hokies, VTECH, ACC, 6A2C3E, CF4520, 71, VA, VA;
Pittsburgh, Panthers, PITT, ACC, 1C2957, CDB87D, 57, PA, PA.OH.WV;
Virginia, Cavaliers, UVA, ACC, 232D4B, F84C1E, 65, VA, VA;
Syracuse, Orange, SYR, ACC, D44500, 6F777D, 80, NY, NY;
Georgia Tech, Yellow Jackets, GTECH, ACC, B3A369, 003057, 63, GA, GA;
Louisville, Cardinals, UL, ACC, AD0000, 000000, 88, KY, KY.OH;
Wake Forest, Demon Deacons, WAKE, ACC, A67F31, 000000, 70, NC, NC;
Duke, Blue Devils, DUKE, ACC, 0736A4, FFFFFF, 80, NC, NC.SC;
